class,precision,recall,f1-score,support
light_rain_and_snow,1.0,0.3333333333333333,0.5,3.0
heavy_snow,0.0,0.0,0.0,24.0
very_heavy_rain,0.0,0.0,0.0,16.0
dust,0.0,0.0,0.0,5.0
snow,0.0,0.0,0.0,19.0
heavy_intensity_rain,0.0,0.0,0.0,73.0
broken_clouds,0.23721275018532245,0.26058631921824105,0.2483507954986418,1228.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0,3.0
moderate_rain,0.125,0.0053475935828877,0.010256410256410256,187.0
few_clouds,0.20121951219512196,0.05053598774885146,0.08078335373317015,653.0
thunderstorm,0.030303030303030304,0.07142857142857142,0.0425531914893617,14.0
scattered_clouds,0.23595505617977527,0.16387959866220736,0.19342105263157894,897.0
overcast_clouds,0.224,0.09733487833140209,0.13570274636510501,863.0
light_rain,0.1659919028340081,0.051964512040557666,0.07915057915057915,789.0
sky_is_clear,0.37916666666666665,0.6015866020273248,0.4651559039018572,2269.0
light_snow,0.10344827586206896,0.03896103896103896,0.05660377358490566,77.0
haze,0.0,0.0,0.0,138.0
mist,0.3118712273641851,0.5740740740740741,0.40417209908735324,1080.0
fog,0.08823529411764706,0.013888888888888888,0.024,216.0
drizzle,0.0,0.0,0.0,44.0
heavy_intensity_drizzle,0.0,0.0,0.0,4.0
light_intensity_drizzle,0.020833333333333332,0.0125,0.015625,80.0
thunderstorm_with_light_rain,0.0,0.0,0.0,7.0
proximity_thunderstorm,0.024390243902439025,0.043478260869565216,0.03125000000000001,23.0
thunderstorm_with_rain,0.0,0.0,0.0,4.0
micro avg,0.3007803534542116,0.3007113354749885,0.3007458405048766,8716.0
macro avg,0.12590509171774392,0.09275598636667777,0.09148099622795852,8716.0
weighted avg,0.2537662015961134,0.3007113354749885,0.2545038796541996,8716.0
